Color_ID,Fecha,Label_ID,Skid,Job_ID,Product_ID,Primer_ID,Clear_ID,Resin_R1_PR,Resin_R2_PR,Hardener_R1_PR,Hardener_R2_PR,Resin_R1_BC,Resin_R2_BC,Resin_R3_BC,Resin_R4_BC,Resin_R5_BC,Resin_R6_BC,Resin_R1_CC,Resin_R2_CC,Resin_R3_CC,Resin_R4_CC,Hardener_R1_CC,Hardener_R2_CC,Hardener_R3_CC,Hardener_R4_CC,CO21,CO22,Week,Year,JobName,ColorName,Evaluacion
1,2021-02-02 18:31:37,1648530,34,29,590,1,1,229,229,22,22,134,132,131,137,176,171,110,106,102,107,49,49,49,49,27,30,5,2021,Difusor Tiguan,A1 Black Bic,0
1,2021-01-19 02:46:09,1632703,150,29,590,1,1,230,230,22,22,135,133,130,136,174,172,108,107,102,108,49,49,49,49,34,40,3,2021,Difusor Tiguan,A1 Black Bic,0
1,2021-01-25 20:31:44,1642661,189,29,590,1,1,228,231,22,22,134,132,131,137,176,174,110,107,102,108,49,49,49,49,27,30,4,2021,Difusor Tiguan,A1 Black Bic,0
1,2021-01-12 17:24:45,1626972,78,29,590,1,1,229,232,22,22,134,132,131,137,176,172,109,107,101,107,49,49,49,49,26,27,2,2021,Difusor Tiguan,A1 Black Bic,0
1,2021-01-13 00:41:23,1627305,149,29,590,1,1,228,228,22,22,135,132,131,136,175,173,107,107,103,107,49,49,46,49,29,31,2,2021,Difusor Tiguan,A1 Black Bic,0
1,2021-01-20 04:46:54,1633737,130,29,590,1,1,230,230,22,22,134,134,131,135,178,174,109,106,101,107,49,49,49,49,32,38,3,2021,Difusor Tiguan,A1 Black Bic,0
1,2021-01-14 13:13:01,1628812,78,29,590,1,1,230,230,22,22,135,133,131,135,178,172,108,106,102,108,49,49,49,49,28,30,2,2021,Difusor Tiguan,A1 Black Bic,0
1,2021-01-12 08:22:34,1626525,92,29,590,1,1,231,229,22,22,135,132,130,137,176,172,109,106,102,106,49,49,49,49,27,28,2,2021,Difusor Tiguan,A1 Black Bic,0
1,2021-02-02 09:43:39,1648185,34,29,590,1,1,230,228,22,22,135,133,130,135,177,172,108,106,101,108,49,49,49,49,36,41,5,2021,Difusor Tiguan,A1 Black Bic,0
1,2021-01-12 05:50:33,1626411,78,29,590,1,1,230,231,22,22,134,133,131,137,177,173,109,106,101,107,49,49,49,49,30,31,2,2021,Difusor Tiguan,A1 Black Bic,0
